name	preview	download
Biryani-ExtraLight	https://fonts.google.com/specimen/Biryani	https://raw.githubusercontent.com/google/fonts/main/ofl/biryani/Biryani-ExtraLight.ttf
Biryani-SemiBold	https://fonts.google.com/specimen/Biryani	https://raw.githubusercontent.com/google/fonts/main/ofl/biryani/Biryani-SemiBold.ttf
Sevillana-Regular	https://fonts.google.com/specimen/Sevillana	https://raw.githubusercontent.com/google/fonts/main/ofl/sevillana/Sevillana-Regular.ttf
NovaOval	https://fonts.google.com/specimen/Nova+Oval	https://raw.githubusercontent.com/google/fonts/main/ofl/novaoval/NovaOval.ttf
Offside-Regular	https://fonts.google.com/specimen/Offside	https://raw.githubusercontent.com/google/fonts/main/ofl/offside/Offside-Regular.ttf
Eater-Regular	https://fonts.google.com/specimen/Eater	https://raw.githubusercontent.com/google/fonts/main/ofl/eater/Eater-Regular.ttf
Inika-Bold	https://fonts.google.com/specimen/Inika	https://raw.githubusercontent.com/google/fonts/main/ofl/inika/Inika-Bold.ttf
Inika-Regular	https://fonts.google.com/specimen/Inika	https://raw.githubusercontent.com/google/fonts/main/ofl/inika/Inika-Regular.ttf
Ribeye-Regular	https://fonts.google.com/specimen/Ribeye	https://raw.githubusercontent.com/google/fonts/main/ofl/ribeye/Ribeye-Regular.ttf
ArchivoVFBeta	https://fonts.google.com/specimen/Archivo+VFBeta	https://raw.githubusercontent.com/google/fonts/main/ofl/archivovfbeta/ArchivoVFBeta.ttf
ArchivoVFBeta-Italic	https://fonts.google.com/specimen/Archivo+VFBeta	https://raw.githubusercontent.com/google/fonts/main/ofl/archivovfbeta/ArchivoVFBeta-Italic.ttf
Mplus1p-ExtraBold	https://fonts.google.com/specimen/Mplus+1p	https://raw.githubusercontent.com/google/fonts/main/ofl/mplus1p/Mplus1p-ExtraBold.ttf
Mplus1p-Light	https://fonts.google.com/specimen/Mplus+1p	https://raw.githubusercontent.com/google/fonts/main/ofl/mplus1p/Mplus1p-Light.ttf
Mplus1p-Thin	https://fonts.google.com/specimen/Mplus+1p	https://raw.githubusercontent.com/google/fonts/main/ofl/mplus1p/Mplus1p-Thin.ttf
Mplus1p-Bold	https://fonts.google.com/specimen/Mplus+1p	https://raw.githubusercontent.com/google/fonts/main/ofl/mplus1p/Mplus1p-Bold.ttf
Mplus1p-Black	https://fonts.google.com/specimen/Mplus+1p	https://raw.githubusercontent.com/google/fonts/main/ofl/mplus1p/Mplus1p-Black.ttf
Mplus1p-Medium	https://fonts.google.com/specimen/Mplus+1p	https://raw.githubusercontent.com/google/fonts/main/ofl/mplus1p/Mplus1p-Medium.ttf
Mplus1p-Regular	https://fonts.google.com/specimen/Mplus+1p	https://raw.githubusercontent.com/google/fonts/main/ofl/mplus1p/Mplus1p-Regular.ttf
LexendMega-Regular	https://fonts.google.com/specimen/Lexend+Mega	https://raw.githubusercontent.com/google/fonts/main/ofl/lexendmega/LexendMega-Regular.ttf
MontserratSubrayada-Bold	https://fonts.google.com/specimen/Montserrat+Subrayada	https://raw.githubusercontent.com/google/fonts/main/ofl/montserratsubrayada/MontserratSubrayada-Bold.ttf
MontserratSubrayada-Regular	https://fonts.google.com/specimen/Montserrat+Subrayada	https://raw.githubusercontent.com/google/fonts/main/ofl/montserratsubrayada/MontserratSubrayada-Regular.ttf
LemonadaVFBeta	https://fonts.google.com/specimen/Lemonada+VFBeta	https://raw.githubusercontent.com/google/fonts/main/ofl/lemonadavfbeta/LemonadaVFBeta.ttf
MrsSaintDelafield-Regular	https://fonts.google.com/specimen/Mrs+Saint+Delafield	https://raw.githubusercontent.com/google/fonts/main/ofl/mrssaintdelafield/MrsSaintDelafield-Regular.ttf
Dekko-Regular	https://fonts.google.com/specimen/Dekko	https://raw.githubusercontent.com/google/fonts/main/ofl/dekko/Dekko-Regular.ttf
AutourOne-Regular	https://fonts.google.com/specimen/Autour+One	https://raw.githubusercontent.com/google/fonts/main/ofl/autourone/AutourOne-Regular.ttf
IMFELLDoublePica-Italic	https://fonts.google.com/specimen/IMFELLDouble+Pica	https://raw.githubusercontent.com/google/fonts/main/ofl/imfelldoublepica/IMFELLDoublePica-Italic.ttf
IMFELLDoublePica-Regular	https://fonts.google.com/specimen/IMFELLDouble+Pica	https://raw.githubusercontent.com/google/fonts/main/ofl/imfelldoublepica/IMFELLDoublePica-Regular.ttf
Frijole-Regular	https://fonts.google.com/specimen/Frijole	https://raw.githubusercontent.com/google/fonts/main/ofl/frijole/Frijole-Regular.ttf
GrandHotel-Regular	https://fonts.google.com/specimen/Grand+Hotel	https://raw.githubusercontent.com/google/fonts/main/ofl/grandhotel/GrandHotel-Regular.ttf
